Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2022-06-28,36936.55078125,36985.99906393083,36419.958997970134,36771.40546999476,315400
2022-06-29,36678.5546875,36807.00147129434,36515.456216844985,36565.30683433072,264600
2022-06-30,36504.70703125,36928.550566071026,36439.80982291575,36711.45311543896,309400
2022-07-01,36900.5,36990.69750961896,36190.064243127264,36477.25801991107,298400
2022-07-04,37273.19140625,37315.84294094752,36833.10209800783,36936.44779390419,202100
2022-07-05,37305.29296875,37695.93400259769,37217.09542157036,37439.09121417912,206700
2022-07-06,37936.9296875,37985.28033395256,37221.0448130969,37318.19141006534,221400
2022-07-07,38263.671875,38331.572929423666,38048.92595266235,38229.67252059031,272800
2022-07-08,38373.921875,38510.669285857795,38068.72843470834,38499.0210689023,185200
2022-07-11,38978.86328125,39052.709538810996,38252.12704603663,38291.32552234579,219100
2022-07-12,38848.51171875,39078.058137675434,38748.56439940949,38853.613184301204,260300
2022-07-13,38835.015625,39156.65798020286,38705.7172887977,39047.011616129304,227400
2022-07-14,38790.6171875,39040.81166962589,38390.22242393113,39009.6130415211,220400
2022-07-15,38943.61328125,39086.90743972265,38756.366831011605,38960.01140787927,232400
2022-07-18,39466.0,39506.350795685605,39139.55698487492,39227.70374726035,210000
2022-07-19,39656.94921875,39732.79934675751,39307.4050481479,39346.95508141991,237700
2022-07-20,39729.796875,40023.041310440654,39652.94677079524,40021.939768843324,301300
2022-07-21,40313.6328125,40381.18231086922,39653.29769714591,39761.19408550851,200600
2022-07-22,40164.23828125,40481.33383000157,40013.139584351724,40471.93166456456,189900
2022-07-25,40121.73828125,40218.13488864227,39946.343173659116,40212.486558376884,402500
2022-07-26,39612.3515625,40165.137971324926,39522.20092561604,40163.34113034539,577600
2022-07-27,39938.09375,39966.69086362895,39470.551840207554,39578.89744063459,551600
2022-07-28,40396.8359375,40428.18299964173,40006.24177777417,40111.38822247585,489100
2022-07-29,40905.375,41015.77525630555,40646.87988761718,40674.3324935442,419200
2022-08-01,41498.96484375,41534.2649571254,40852.62550992533,41124.17115355901,376800
2022-08-02,41673.26171875,41737.811277786175,41341.31878517448,41536.111971862294,795500
2022-08-03,41513.31640625,41774.959895192806,41121.02304458512,41665.61040085903,816100
2022-08-04,41724.109375,41836.65802779423,41046.57531313678,41718.711039590235,672700
2022-08-05,41683.4609375,42013.35313018365,41611.51308071358,41898.25765267609,724400
2022-08-08,41893.35546875,41929.90555817003,41631.01277819332,41766.06100321403,344400
2022-08-10,41748.05859375,42061.451078627164,41596.01070051999,42025.502542688926,409500
2022-08-11,42094.50390625,42125.151763567104,41936.9053271886,42037.20420971871,329900
2022-08-12,42210.59765625,42298.14677659734,42051.75301345678,42131.200724996714,549900
2022-08-16,42876.6875,42910.43686046003,42388.09519617342,42427.49679327531,0
2022-08-17,43312.23046875,43371.979337135606,43016.185294451076,43035.036499918446,508200
2022-08-18,43576.07421875,43677.07230842373,43192.48381791266,43298.82946269018,507900
2022-08-19,43132.984375,43863.47054860968,43000.385322289134,43707.223505999806,520300
2022-08-22,42336.69921875,43062.333931167916,42255.39997524175,43041.185893674345,416000
2022-08-23,42542.74609375,42660.841516248795,41945.85504007443,41959.15556974758,403700
2022-08-24,42796.4375,42820.53860493509,42273.947419591794,42532.24329703642,308100
2022-08-25,42807.6875,43203.679983969305,42720.29072131146,42998.83230952646,362000
2022-08-26,43029.78515625,43254.03090162434,42952.384281030645,43081.28417915648,319000
2022-08-29,42772.7890625,42851.834435976074,41869.70465474013,41916.45376670701,278000
2022-08-30,43708.3203125,43758.2217107871,43081.683747645795,43100.43339240337,363700
