Date,Average Volume
2023-11-29,206226.66666666666
2023-11-30,216413.33333333334
2023-12-01,219080.0
2023-12-04,225153.33333333334
2023-12-05,231510.0
2023-12-06,236873.33333333334
2023-12-07,240173.33333333334
2023-12-08,242410.0
2023-12-11,239493.33333333334
2023-12-12,240816.66666666666
2023-12-13,243490.0
2023-12-14,247770.0
2023-12-15,258260.0
2023-12-18,258396.66666666666
2023-12-19,260406.66666666666
2023-12-20,266513.3333333333
2023-12-21,269140.0
2023-12-22,272130.0
2023-12-26,272500.0
2023-12-27,275976.6666666667
2023-12-28,282770.0
2023-12-29,282083.3333333333
2024-01-01,277793.3333333333
2024-01-02,278690.0
2024-01-03,283293.3333333333
2024-01-04,288100.0
2024-01-05,292260.0
2024-01-08,294310.0
2024-01-09,297066.6666666667
2024-01-10,296646.6666666667
2024-01-11,295856.6666666667
2024-01-12,289460.0
2024-01-15,292116.6666666667
2024-01-16,289160.0
2024-01-17,290326.6666666667
2024-01-18,291263.3333333333
2024-01-19,293533.3333333333
2024-01-23,298776.6666666667
2024-01-24,305263.3333333333
2024-01-25,311036.6666666667
2024-01-29,314916.6666666667
2024-01-30,316273.3333333333
2024-01-31,313000.0
2024-02-01,315760.0
2024-02-02,322193.3333333333
2024-02-05,324756.6666666667
2024-02-06,327873.3333333333
2024-02-07,329926.6666666667
2024-02-08,338980.0
2024-02-09,342070.0
2024-02-12,338546.6666666667
2024-02-13,341710.0
2024-02-14,348546.6666666667
2024-02-15,351270.0
2024-02-16,352336.6666666667
2024-02-19,349973.3333333333
2024-02-20,349520.0
2024-02-21,353953.3333333333
2024-02-22,357783.3333333333
2024-02-23,358083.3333333333
2024-02-26,357926.6666666667
2024-02-27,356510.0
2024-02-28,351760.0
2024-02-29,354020.0
2024-03-01,350536.6666666667
2024-03-04,347586.6666666667
2024-03-05,346023.3333333333
2024-03-06,341443.3333333333
2024-03-07,340523.3333333333
2024-03-11,335850.0
2024-03-12,333266.6666666667
2024-03-13,337206.6666666667
2024-03-14,337743.3333333333
2024-03-15,348710.0
2024-03-18,345826.6666666667
2024-03-19,342606.6666666667
2024-03-20,340653.3333333333
2024-03-21,340883.3333333333
2024-03-22,337470.0
2024-03-26,336776.6666666667
2024-03-27,340833.3333333333
2024-03-28,342323.3333333333
2024-04-01,339296.6666666667
2024-04-02,337433.3333333333
2024-04-03,336290.0
2024-04-04,340713.3333333333
2024-04-05,338930.0
2024-04-08,334366.6666666667
2024-04-09,330663.3333333333
2024-04-10,332356.6666666667
2024-04-12,337336.6666666667
2024-04-15,340780.0
2024-04-16,344590.0
2024-04-18,347813.3333333333
2024-04-19,348180.0
2024-04-22,347530.0
2024-04-23,345373.3333333333
2024-04-24,342826.6666666667
2024-04-25,345996.6666666667
2024-04-26,347730.0
2024-04-29,347490.0
2024-04-30,343110.0
2024-05-02,343750.0
2024-05-03,336303.3333333333
2024-05-06,335103.3333333333
2024-05-07,333556.6666666667
2024-05-08,332390.0
2024-05-09,331660.0
2024-05-10,327563.3333333333
2024-05-13,325890.0
2024-05-14,319926.6666666667
2024-05-15,313973.3333333333
2024-05-16,317326.6666666667
2024-05-17,315766.6666666667
2024-05-21,317033.3333333333
2024-05-22,313343.3333333333
2024-05-23,317596.6666666667
2024-05-24,318740.0
2024-05-27,319660.0
2024-05-28,317696.6666666667
2024-05-29,314786.6666666667
2024-05-30,315383.3333333333
2024-05-31,323876.6666666667
2024-06-03,327626.6666666667
2024-06-04,349080.0
2024-06-05,361053.3333333333
2024-06-06,369350.0
2024-06-07,377273.3333333333
2024-06-10,371586.6666666667
2024-06-11,370763.3333333333
2024-06-12,370883.3333333333
2024-06-13,367763.3333333333
2024-06-14,360336.6666666667
2024-06-18,354806.6666666667
2024-06-19,355090.0
2024-06-20,354506.6666666667
2024-06-21,365590.0
2024-06-24,362526.6666666667
2024-06-25,363603.3333333333
2024-06-26,363923.3333333333
2024-06-27,373423.3333333333
2024-06-28,377520.0
2024-07-01,374166.6666666667
2024-07-02,375020.0
2024-07-03,372376.6666666667
2024-07-04,371073.3333333333
2024-07-05,368693.3333333333
2024-07-08,368840.0
2024-07-09,368523.3333333333
2024-07-10,371003.3333333333
2024-07-11,372220.0
2024-07-12,370633.3333333333
2024-07-15,361743.3333333333
2024-07-16,352203.3333333333
2024-07-18,330363.3333333333
2024-07-19,320540.0
2024-07-22,315333.3333333333
2024-07-23,314093.3333333333
2024-07-24,316166.6666666667
2024-07-25,319053.3333333333
2024-07-26,321993.3333333333
2024-07-29,324883.3333333333
2024-07-30,330280.0
2024-07-31,332326.6666666667
2024-08-01,335743.3333333333
2024-08-02,337900.0
2024-08-05,333803.3333333333
2024-08-06,336233.3333333333
2024-08-07,336883.3333333333
2024-08-08,337686.6666666667
2024-08-09,327683.3333333333
2024-08-12,325186.6666666667
2024-08-13,324233.3333333333
2024-08-14,325400.0
2024-08-16,325510.0
2024-08-19,325256.6666666667
2024-08-20,323253.3333333333
2024-08-21,322946.6666666667
2024-08-22,321940.0
2024-08-23,319090.0
2024-08-26,315886.6666666667
2024-08-27,312470.0
2024-08-28,309636.6666666667
2024-08-29,311996.6666666667
2024-08-30,321573.3333333333
2024-09-02,317540.0
2024-09-03,313803.3333333333
2024-09-04,307716.6666666667
2024-09-05,302903.3333333333
2024-09-06,300233.3333333333
2024-09-09,295920.0
2024-09-10,292463.3333333333
2024-09-11,288936.6666666667
2024-09-12,290486.6666666667
2024-09-13,284470.0
2024-09-16,278593.3333333333
2024-09-17,269560.0
2024-09-18,266340.0
